Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
compatible-incredible-cotton-keyboard,Compatible Incredible Cotton Keyboard,Exercitationem impedit quo. Sunt qui sunt alias consequatur suscipit blanditiis cum repellat maiores. Quibusdam a quibusdam ratione sit architecto cupiditate veritatis sequi.,"Bechtelar, Mraz and Baumbach",Outdoors,data-generator,true,Title,Cotton tan - w5v-fgq,,,,,"",0,shopify,24,deny,manual,140.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
compatible-incredible-cotton-keyboard,,,,,,,,Soft lavender - 0z4-p5m,,,,,"",487,shopify,34,deny,manual,154.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
visionary-unbranded-metal-shoes,Visionary Unbranded Metal Shoes,Ullam reprehenderit velit odio modi ut id nihil in minus. Velit aut labore sed itaque. Quidem illum veritatis quia atque tempora ut et quia. Consequatur quisquam consectetur dolore tempore repudiandae quo.,Balistreri Inc,Grocery,data-generator,true,Title,Steel sky blue - 8nx-w3e,,,,,"",0,shopify,34,deny,manual,164.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/back-of-hotdog-pin.jpg?v=1529421100,1,,false,,,,,,,,,,,,,,,,,g,
visionary-unbranded-metal-shoes,,,,,,,,Wooden yellow - lmx-tq2,,,,,"",72,shopify,2,deny,manual,284.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
visionary-unbranded-metal-shoes,,,,,,,,Cotton magenta - u4q-y31,,,,,"",0,shopify,48,deny,manual,75.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
digitized-reduced-fantastic-metal-chair-plastic-plum,Digitized Reduced Fantastic Metal Chair - Plastic plum,Illo assumenda repellat beatae ipsam nobis. Minima dolor accusantium. Eveniet quasi pariatur neque eius at ipsa quis ullam quia. Impedit cum quidem autem. Sed debitis voluptatem illo velit similique ipsam et dolore. Et porro minus et velit sit laboriosam.,Hoeger LLC,Tools,data-generator,true,Title,Plastic cyan - gk3-q9t,,,,,"",0,shopify,19,deny,manual,249.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/hotdog-hard-enamel-lapel-pin.jpg?v=1529421100,1,,false,,,,,,,,,,,,,,,,,g,
digitized-reduced-fantastic-metal-chair-plastic-plum,,,,,,,,Soft orange - gp1-q41,,,,,"",0,shopify,47,deny,manual,169.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
mandatory-licensed-rubber-mouse-soft-black,Mandatory Licensed Rubber Mouse - Soft black,Facilis voluptates nostrum voluptatum dolore doloribus laboriosam similique rerum. Est iusto officiis omnis sint. Voluptatibus sit hic laboriosam recusandae dolor at rerum.,Rodriguez - Collier,Home,data-generator,true,Title,Wooden sky blue - 0ad-tq4,,,,,"",302,shopify,28,deny,manual,75.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
mandatory-licensed-rubber-mouse-soft-black,,,,,,,,Soft turquoise - 9tv-39v,,,,,"",0,shopify,3,deny,manual,219.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
mandatory-licensed-rubber-mouse-soft-black,,,,,,,,Fresh azure - z9m-3wr,,,,,"",0,shopify,47,deny,manual,45.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
vision-oriented-handcrafted-granite-bike-granite-sky-blue,Vision-oriented Handcrafted Granite Bike - Granite sky blue,At veritatis pariatur veritatis laudantium quia. Accusamus illum iure est autem id aut eaque. Maxime nisi quia et. Architecto maxime vero totam ratione ad temporibus aspernatur. Itaque ducimus dolores voluptates.,Schuster - Halvorson,Electronics,data-generator,true,Title,Steel blue - dlt-opl,,,,,"",192,shopify,7,deny,manual,261.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/black-white-grunge-iphone-6-case__1.jpg?v=1529421100,1,,false,,,,,,,,,,,,,,,,,g,
vision-oriented-handcrafted-granite-bike-granite-sky-blue,,,,,,,,Wooden teal - s7z-0ad,,,,,"",139,shopify,32,deny,manual,282.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
vision-oriented-handcrafted-granite-bike-granite-sky-blue,,,,,,,,Granite purple - i36-qhi,,,,,"",183,shopify,26,deny,manual,163.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
switchable-upgradable-generic-frozen-chair-fresh-mint-green,Switchable Upgradable Generic Frozen Chair - Fresh mint green,Rerum quis modi. Soluta nam qui quo ratione similique a rerum dolorem. Accusamus tenetur delectus optio est voluptates blanditiis repellendus sit nemo. Et sapiente aspernatur assumenda. Sint sed facilis sed rerum possimus. Excepturi error voluptatem modi sequi.,Schamberger LLC,Home,data-generator,true,Title,Soft tan - hwu-6ii,,,,,"",484,shopify,14,deny,manual,255.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
multi-lateral-handmade-wooden-sausages-concrete-gold,Multi-lateral Handmade Wooden Sausages - Concrete gold,Deleniti qui voluptatibus dolorem. Doloremque assumenda sed doloribus aut iusto provident accusantium est non. Id accusamus atque adipisci id qui aut velit eos. Repellendus sunt nam tempora.,"Schoen, Rutherford and Gleason",Baby,data-generator,true,Title,Steel tan - p3o-hxs,,,,,"",422,shopify,50,deny,manual,130.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
streamlined-open-source-ergonomic-rubber-chips,Streamlined Open-source Ergonomic Rubber Chips,Non necessitatibus et quibusdam eos rerum. Tenetur quia voluptatum similique. Voluptas laudantium et ipsam tempore deleniti ullam dignissimos omnis. In earum qui est accusamus omnis itaque quia.,"Hills, Thompson and Haag",Jewelery,data-generator,true,Title,Granite pink - anl-uy6,,,,,"",305,shopify,0,deny,manual,264.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
streamlined-open-source-ergonomic-rubber-chips,,,,,,,,Cotton salmon - 4m1-f6y,,,,,"",0,shopify,45,deny,manual,189.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
up-sized-total-rustic-granite-sausages-frozen-pink,Up-sized Total Rustic Granite Sausages - Frozen pink,Ea culpa enim non aspernatur non sed. Quia praesentium fuga suscipit excepturi. Aut quas eaque accusantium quia. In non quis facere quia similique id. Repellendus consequatur id perspiciatis quisquam ab neque. Consequuntur ab rem.,Parisian Inc,Movies,data-generator,true,Title,Cotton olive - g87-x6m,,,,,"",0,shopify,15,deny,manual,129.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
up-sized-total-rustic-granite-sausages-frozen-pink,,,,,,,,Wooden pink - qun-ld1,,,,,"",0,shopify,37,deny,manual,284.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
total-synergized-handcrafted-frozen-chair-metal-lime,Total Synergized Handcrafted Frozen Chair - Metal lime,Quas aut rerum maiores officia ea. Sit repellendus quis harum sit. Sed excepturi voluptatem est in explicabo sint id. Est modi adipisci beatae quod.,"Gislason, Kling and Pollich",Beauty,data-generator,true,Title,Granite gold - eh9-gka,,,,,"",0,shopify,19,deny,manual,19.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
total-synergized-handcrafted-frozen-chair-metal-lime,,,,,,,,Frozen magenta - 1wh-5fe,,,,,"",0,shopify,47,deny,manual,221.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
configurable-exclusive-ergonomic-steel-gloves,Configurable Exclusive Ergonomic Steel Gloves,Exercitationem tempora minima fuga dignissimos autem labore. Laboriosam esse ea officiis alias cupiditate. Minima laudantium ea officiis. Recusandae tempora et. Id consequuntur consequuntur asperiores asperiores in veniam qui fugiat omnis.,Waelchi Group,Music,data-generator,true,Title,Steel lime - c6s-c86,,,,,"",0,shopify,44,deny,manual,97.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
configurable-exclusive-ergonomic-steel-gloves,,,,,,,,Plastic yellow - khr-0jd,,,,,"",487,shopify,43,deny,manual,156.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
configurable-exclusive-ergonomic-steel-gloves,,,,,,,,Frozen mint green - 73m-q4t,,,,,"",482,shopify,28,deny,manual,117.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
advanced-stand-alone-rustic-rubber-chair-cotton-tan,Advanced Stand-alone Rustic Rubber Chair - Cotton tan,Quo similique odit omnis aut quia reprehenderit. Animi vel qui dignissimos magnam. Accusantium voluptas sunt perferendis voluptatem voluptas eum. Eos exercitationem quisquam nihil libero magnam. Consectetur corporis exercitationem ea id asperiores.,"Hauck, Gleichner and Windler",Kids,data-generator,true,Title,Frozen tan - 4ol-89y,,,,,"",0,shopify,7,deny,manual,41.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
synergized-intelligent-rubber-bike,Synergized Intelligent Rubber Bike,Placeat molestiae consequatur. Hic nesciunt veniam. Amet soluta ex praesentium impedit nihil est. Recusandae sit veniam perspiciatis ut aperiam doloribus. Ab quia in.,Walsh - Waters,Toys,data-generator,true,Title,Steel orchid - 3qw-z2e,,,,,"",0,shopify,40,deny,manual,223.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
synergized-intelligent-rubber-bike,,,,,,,,Cotton blue - by7-9rp,,,,,"",0,shopify,44,deny,manual,256.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
synergized-intelligent-rubber-bike,,,,,,,,Plastic teal - f5z-j50,,,,,"",403,shopify,14,deny,manual,191.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
reverse-engineered-intelligent-plastic-soap,Reverse-engineered Intelligent Plastic Soap,Sequi dignissimos ipsa cum eum veritatis aliquam explicabo nobis. Dicta error deserunt nihil voluptatum. Consequatur qui itaque ut illo dignissimos et dolores. Modi vitae sunt soluta labore rerum velit commodi eos tempora.,Pacocha - Bosco,Health,data-generator,true,Title,Soft mint green - 539-loy,,,,,"",0,shopify,47,deny,manual,136.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
automated-incredible-wooden-mouse-fresh-white,Automated Incredible Wooden Mouse - Fresh white,Architecto maiores corporis et nihil voluptates maiores ut. Qui in et sit. Recusandae culpa voluptatem nulla ipsum voluptas ut deserunt eos. Consequuntur libero soluta qui doloribus quam et. Id et quis.,Huels LLC,Computers,data-generator,true,Title,Steel grey - qiv-jjl,,,,,"",112,shopify,42,deny,manual,132.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/baby-shoes.jpg?v=1529421100,1,,false,,,,,,,,,,,,,,,,,g,
automated-incredible-wooden-mouse-fresh-white,,,,,,,,Concrete turquoise - h08-1nb,,,,,"",0,shopify,4,deny,manual,138.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
automated-incredible-wooden-mouse-fresh-white,,,,,,,,Concrete azure - 4a9-zy7,,,,,"",405,shopify,30,deny,manual,167.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
profit-focused-awesome-cotton-soap-metal-white,Profit-focused Awesome Cotton Soap - Metal white,Consequatur eum iure in. Molestiae consequatur similique. Animi assumenda perspiciatis est dolore maiores perspiciatis ipsam quia. Qui sed ipsa explicabo dicta et minus culpa quia aut.,Stehr Group,Outdoors,data-generator,true,Title,Metal maroon - ouj-phf,,,,,"",0,shopify,48,deny,manual,91.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
profit-focused-awesome-cotton-soap-metal-white,,,,,,,,Fresh violet - 1nn-rjp,,,,,"",170,shopify,13,deny,manual,36.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
profit-focused-awesome-cotton-soap-metal-white,,,,,,,,Rubber tan - uup-u6b,,,,,"",89,shopify,10,deny,manual,152.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
enterprise-wide-ergonomic-wooden-tuna-wooden-green,Enterprise-wide Ergonomic Wooden Tuna - Wooden green,Quo aut fugiat qui sunt ut omnis. Quis ut dignissimos dolorem deserunt est quis odit. Incidunt ea maiores dolore ab minima dolorum amet quia. Officiis nesciunt qui. Sit alias dolor et quaerat eos.,Morissette - Donnelly,Music,data-generator,true,Title,Granite purple - 21o-eh0,,,,,"",0,shopify,1,deny,manual,195.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
enterprise-wide-ergonomic-wooden-tuna-wooden-green,,,,,,,,Frozen magenta - ncd-h3l,,,,,"",0,shopify,0,deny,manual,215.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
enterprise-wide-ergonomic-wooden-tuna-wooden-green,,,,,,,,Metal grey - nyk-w8r,,,,,"",343,shopify,27,deny,manual,217.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
automated-sharable-small-concrete-gloves,Automated Sharable Small Concrete Gloves,Sit earum maxime perferendis sed quaerat voluptate impedit. Numquam possimus quia provident molestiae laboriosam officia reiciendis odit. Dolore culpa corrupti corporis autem voluptatem occaecati. Non aut vero voluptatem tempora quam.,"Mraz, Ullrich and Monahan",Outdoors,data-generator,true,Title,Plastic lavender - 1uu-0vo,,,,,"",0,shopify,7,deny,manual,62.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
automated-sharable-small-concrete-gloves,,,,,,,,Fresh green - yl7-ao6,,,,,"",0,shopify,27,deny,manual,42.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
automated-sharable-small-concrete-gloves,,,,,,,,Granite plum - i6i-jgc,,,,,"",300,shopify,7,deny,manual,211.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
product-with-variants,Product with Size Variants,"",redhIO,Product Demo,"",true,Size,Small,,,,,p-sm,0,,1,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/P.png?v=1528493037,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/S.png?v=1528493037,kg,
product-with-variants,,,,,,,,Medium,,,,,p-md,0,,0,deny,manual,7.50,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/S.png?v=1528493037,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/M.png?v=1528493037,kg,
product-with-variants,,,,,,,,Large,,,,,p-lg,0,,0,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/M.png?v=1528493037,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/L.png?v=1528493037,kg,
product-with-variants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/L.png?v=1528493037,4,,,,,,,,,,,,,,,,,,,,
burton-custom-freestyle-152,Burton Custom Freestyle 151,<strong>Good snowboard!</strong>,Burton,Snowboard,"",true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,
burton-custom-freestyle-151,Burton Custom Freestyle 151,<strong>Good snowboard!</strong>,Burton,Snowboard,"",true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,
machine-learning2,Machine Learning2,<strong>AI!</strong>,redhIO,model,"",true,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,
product-bundling-model-policy-iteration-markov,Product Bundling Model (Markov) @ $ per result,"<p>This model provides real-time product bundles to your customers! No manually building promotion offers.</p>
<p>Deploy in your Shopify store to take the guesswork out of promos!</p>
<p>Technical Details:</p>
<p>Uses Markov value interation algorithm to optimize for the optimal policy (can be high or low).</p>",redhIO,Markov,"",true,Title,Default Title,,,,,mk-price,0,,1,deny,manual,0.15,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/Markov_Decision_Process.svg_283fce82-7065-4758-b8f3-6e68673341b6.png?v=1526607051,1,,false,,,,,,,,,,,,,,,,,kg,
product-bundling-model-policy-iteration-markov,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/images_f127259d-bf4b-422d-8477-d23837c7422b.png?v=1526607051,2,,,,,,,,,,,,,,,,,,,,
dynamic-pricing-model-value-iteration-markov,Dynamic Pricing Model (Markov) @ $ per result,"<p>This model will optimize the pricing between 3 products to identify the ""best"" price for the product you want to sell. </p>
<p>Deploy in your Shopify store to take the guesswork out of pricing!</p>
<p>Technical Details:</p>
<p>Uses Markov value interation algorithm to optimize for the optimal value (can be high or low).</p>",redhIO,Markov,"",true,Title,Default Title,,,,,mk-price,0,,1,deny,manual,0.07,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/Markov_Decision_Process.svg_616cff0e-f9ff-43cc-8faf-1e6bfcbe48ea.png?v=1526606933,1,,false,,,,,,,,,,,,,,,,,kg,
dynamic-pricing-model-value-iteration-markov,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/images.png?v=1526606960,2,,,,,,,,,,,,,,,,,,,,
image-recognition-based-on-exception-cases-tensorflow,Image recognition based on exception cases (TensorFlow) @ $ per result,An inverse recognition model for identifying what is NOT an image.  Fantastic for automation applications where categorization depends on object not being like the others (such as we want all invoice that are NOT paid).,redhIO,Tensor,"",true,Title,Default Title,,,,,ten-except,0,,1,deny,manual,0.45,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/machine_learning_31acc3c1-1fb0-4087-9a43-ec0ab078e1ed.jpg?v=1526606611,1,,false,,,,,,,,,,,,,,,,,kg,
learning-shape-recognition-for-data-imports-densenet,Learning shape recognition for data imports (DenseNet) @ $ per result,"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>DenseNet model.  Fantastic for identifying similar shapes in new formats as would be encountered in data imports. </p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#densenet</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-dense,0,,1,deny,manual,0.04,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/machine_learning_33520d2a-4d29-4cde-a0c1-8c6ffe3cb824.jpg?v=1526606428,1,,false,,,,,,,,,,,,,,,,,kg,
portable-efficient-shape-recognition-mobilenet,Portable & Efficient Shape Recognition (MobileNet),"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>MobileNet model.  Fantastic for Modulus and Pi deployments.</p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#mobilenet</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-res50,0,,1,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/machine_learning_6998113b-7b9b-42fa-ad30-9189bd5ed6d8.jpg?v=1526606266,1,,false,,,,,,,,,,,,,,,,,kg,
object-recognition-resnet50,Object Recognition (ResNet50),"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>ResNet50 model.  Fantastic for character &amp; handwriting recognition.</p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#resnet50</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-res50,0,,1,deny,manual,25.00,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/machine_learning_ea764019-d5d1-437c-9b1d-c9a052e64a1f.jpg?v=1526606201,1,,false,,,,,,,,,,,,,,,,,kg,
high-res-object-recognition-inceptionv3,High-res Object Recognition (InceptionV3) @ $ per result,"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>InceptionV3 model.  Fantastic for character &amp; handwriting recognition.</p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#inceptionv3</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-incv3,0,,1,deny,manual,0.15,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
high-res-object-recognition-vgg19,High-res Object Recognition (VGG19) @ $ per result,"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>This is a higher resolution, better performing version of VGG16.  Fantastic for character &amp; handwriting recognition.</p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#vgg19</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-vgg19,0,,1,deny,manual,0.06,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
low-res-object-recognition-vgg16,Low-res Object Recognition (VGG16),"<p>A pre-trained model for object detection using the basic google image library.</p>
<p>See our example here:</p>
<p>****</p>
<p><span>This model is available for both the Theano and TensorFlow backend, and can be built both with </span><code>'channels_first'</code><span>data format (channels, height, width) or </span><code>'channels_last'</code><span> data format (height, width, channels).</span></p>
<p>https://keras.io/applications/#vgg16</p>",redhIO,Keras,"",true,Title,Default Title,,,,,ker-vgg16,0,,1,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/machine_learning.jpg?v=1526605852,1,,false,,,,,,,,,,,,,,,,,kg,
14k-white-gold-half-bezel-diamond-ring,"14K White Gold Weave Diamond Ring @ $1,250","<div>
<p>Weave set rings are epitome of perfection! A single row of round brilliant cut diamonds set in a full weave design captures the beauty of the setting style as well as the flash and fire of the diamond.</p>
</div>
<span></span>",Redhio,Ring,"",false,Title,Default Title,,,,,12151W17,45,,1,deny,manual,1250.00,1400.00,true,true,12151W17,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/2018-05-17_19_37_49-Matching_Pave_Rope_Wedding_Ring___14K_White_Gold___James_Allen___15152W14.png?v=1526600781,1,,false,,,,,,,,,,,,,,,,,lb,
14k-white-gold-bezel-set-diamond-ring,"14K White Gold Bezel Set Diamond Ring @ $1,387",<span>Bezel set rings are epitome of perfection! A single row of round brilliant cut diamonds set in a full bezel design captures the beauty of the setting style as well as the flash and fire of the diamond.</span>,Redhio,Ring,"",false,Title,Default Title,,,,,12151W16,45,,1,deny,manual,1387.00,1500.00,true,true,12151W16,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/2018-05-17_19_38_10-wedding_rings_womens_stackable_14k_white_gold_half_milgrain_bezel_diamond_ring.png?v=1526600662,1,,false,,,,,,,,,,,,,,,,,lb,
14k-white-gold-butterfly-diamond-ring,"14K White Gold Butterfly Diamond Ring @ $2,533",<span>Brilliant cut diamonds are prong set in a two to one pattern creating a butterfly pattern that it is a bit playful and whimsical similar to a butterfly.</span>,Redhio,Ring,"",false,Title,Default Title,,,,,12151W14,45,,1,deny,manual,2533.00,3500.00,true,true,12151W14,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/2018-05-17_19_36_49-wedding_rings_womens_stackable_14k_white_gold_diamond_butterfly_ring_item_6216.png?v=1526600534,1,,false,,,,,,,,,,,,,,,,,lb,
14k-white-gold-butterfly-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/2018-05-17_19_36_59-wedding_rings_womens_stackable_14k_white_gold_diamond_butterfly_ring_item_6216.png?v=1526600536,2,,,,,,,,,,,,,,,,,,,,
14k-white-gold-butterfly-diamond-ring,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/2018-05-17_19_37_06-wedding_rings_womens_stackable_14k_white_gold_diamond_butterfly_ring_item_6216.png?v=1526600537,3,,,,,,,,,,,,,,,,,,,,
lenet,Smile Recognition model (LeNet) @ $ per result,"<p>Pretrained ""smile detection"" model</p>
<p>Use this model to detect smiling faces in images and streaming video.</p>
<p>*****</p>
<p>Pretrained LeNet Model</p>
<p><span face=""Arial,Helvetica"" style=""font-family: Arial, Helvetica;"">Convolutional Neural Networks are are a special kind of multi-layer neural networks. Like almost every other neural networks they are trained with a version of the back-propagation algorithm. Where they differ is in the architecture. </span><span>  </span><br><span face=""Arial,Helvetica"" style=""font-family: Arial, Helvetica;""></span></p>
<p><span face=""Arial,Helvetica"" style=""font-family: Arial, Helvetica;"">Convolutional Neural Networks are designed to recognize visual patterns directly from pixel images with minimal preprocessing.</span><span>  </span><br><span face=""Arial,Helvetica"" style=""font-family: Arial, Helvetica;""></span></p>
<p><span face=""Arial,Helvetica"" style=""font-family: Arial, Helvetica;"">They can recognize patterns with extreme variability (such as handwritten characters), and with robustness to distortions and simple geometric transformations.</span></p>
<p>http://yann.lecun.com/exdb/lenet/</p>",redhIO,NeuralNet,"free, model, opensource, pretrained",true,Title,Default Title,,,,,mod-0001,0,,0,deny,manual,0.05,,false,true,"",https://cdn.shopify.com/s/files/1/0019/4668/1410/products/44205694-smiling-people.jpg?v=1526605649,1,,false,,,,,,,,,,,,,,,,,kg,
